iter	Passed	Remaining
0	151	151444
1	158	79107
2	164	54789
3	171	42624
4	178	35529
5	185	30753
6	191	27214
7	197	24469
8	202	22293
9	208	20647
10	215	19339
11	220	18181
12	226	17216
13	232	16365
14	238	15629
15	243	14946
16	249	14400
17	254	13902
18	260	13452
19	265	13001
20	270	12616
21	276	12289
22	282	11984
23	287	11709
24	293	11443
25	298	11197
26	304	10959
27	309	10740
28	315	10573
29	321	10404
30	327	10238
31	333	10086
32	339	9962
33	347	9878
34	355	9802
35	361	9675
36	367	9568
37	374	9470
38	380	9371
39	385	9252
40	391	9157
41	397	9065
42	403	8979
43	410	8908
44	416	8828
45	421	8748
46	427	8659
47	433	8589
48	439	8536
49	446	8475
50	452	8416
51	458	8354
52	464	8302
53	470	8246
54	476	8180
55	482	8130
56	490	8110
57	496	8060
58	514	8207
59	520	8149
60	526	8106
61	532	8053
62	537	7988
63	542	7938
64	548	7887
65	554	7844
66	560	7805
67	566	7764
68	572	7718
69	576	7657
70	582	7617
71	588	7581
72	594	7545
73	599	7504
74	605	7468
75	611	7434
76	616	7395
77	622	7361
78	628	7330
79	634	7302
80	642	7284
81	648	7263
82	654	7233
83	660	7206
84	666	7176
85	672	7143
86	677	7108
87	683	7084
88	689	7055
89	695	7027
90	700	7002
91	706	6973
92	711	6941
93	717	6913
94	723	6888
95	729	6867
96	734	6840
97	740	6817
98	746	6792
99	751	6767
100	757	6745
101	764	6734
102	771	6718
103	778	6705
104	786	6702
105	792	6684
106	802	6698
107	811	6703
108	818	6692
109	826	6686
110	832	6668
111	839	6653
112	846	6642
113	853	6635
114	861	6628
115	868	6614
116	873	6595
117	880	6581
118	888	6574
119	894	6561
120	901	6547
121	908	6538
122	916	6533
123	922	6519
124	930	6510
125	936	6498
126	944	6491
127	951	6478
128	957	6467
129	964	6452
130	972	6448
131	981	6453
132	988	6446
133	995	6436
134	1002	6424
135	1009	6415
136	1017	6408
137	1023	6391
138	1030	6384
139	1037	6375
140	1045	6367
141	1051	6350
142	1058	6343
143	1064	6329
144	1071	6317
145	1077	6302
146	1084	6290
147	1091	6281
148	1097	6269
149	1104	6259
150	1110	6244
151	1117	6236
152	1128	6244
153	1137	6248
154	1145	6243
155	1154	6244
156	1161	6237
157	1168	6226
158	1174	6211
159	1182	6208
160	1189	6200
161	1195	6184
162	1203	6177
163	1210	6168
164	1216	6156
165	1224	6150
166	1230	6139
167	1237	6129
168	1244	6121
169	1251	6109
170	1257	6095
171	1263	6082
172	1269	6068
173	1275	6056
174	1282	6046
175	1289	6036
176	1298	6036
177	1307	6035
178	1313	6025
179	1319	6013
180	1326	6000
181	1332	5990
182	1339	5978
183	1345	5965
184	1351	5953
185	1357	5940
186	1363	5927
187	1369	5916
188	1376	5904
189	1382	5894
190	1388	5881
191	1395	5872
192	1402	5863
193	1408	5850
194	1414	5840
195	1422	5834
196	1429	5827
